Blob Number, Blob Area (pixel), Blob Area (mm2), Blob Perimeter (pixel), Blob Perimeter (mm)
1,3654.0,36.909,231.296,2.336
2,2347.0,23.707,181.439,1.833
3,4360.0,44.04,248.309,2.508
4,4571.0,46.172,112.225,1.134
5,1310.0,13.232,134.912,1.363
6,3258.0,32.909,214.853,2.17
7,1679.0,16.96,154.912,1.565
8,11666.0,117.838,71.841,0.726
9,2691.0,27.182,194.368,1.963
10,1669.0,16.859,153.64,1.552
11,6924.0,69.939,315.563,3.188
12,2286.0,23.091,179.539,1.814
13,3666.0,37.03,229.723,2.32
14,3968.0,40.081,243.338,2.458
15,4584.0,46.303,2.828,0.029
16,3852.0,38.909,234.551,2.369
17,1748.0,17.657,156.569,1.582
18,7700.0,77.778,331.563,3.349
19,1220.0,12.323,131.983,1.333
20,845.0,8.535,109.113,1.102
21,1286.0,12.99,135.497,1.369
22,2244.0,22.667,179.296,1.811
23,1655.0,16.717,152.669,1.542
24,1891.0,19.101,164.912,1.666
25,908.0,9.172,113.497,1.146
26,11555.0,116.717,150.125,1.516
27,2237.0,22.596,183.397,1.852
28,1043.0,10.535,123.012,1.243
29,679.0,6.859,98.184,0.992
30,667.0,6.737,98.77,0.998
31,846.0,8.545,114.184,1.153
32,656.0,6.626,97.355,0.983
33,550.0,5.556,92.627,0.936
34,513.0,5.182,88.184,0.891
35,854.0,8.626,144.184,1.456
36,7096.0,71.677,344.877,3.484
